,ds,yhat,yhat_lower,yhat_upper,trend
11156,2024-01-02,415.43924809791855,347.96470140982393,477.3024890824968,414.8604057442482
11157,2024-01-03,415.82720362967615,353.24121211126135,484.0017421232629,414.8987866835787
11158,2024-01-04,415.9893484753015,353.09810210825424,477.9639847668277,414.9371676229092
11159,2024-01-05,416.30919917073646,347.4446924437679,482.87490988058204,414.97554856223957
11160,2024-01-08,416.2908642844882,347.9788075442724,484.2265132228009,415.09069138023085
11161,2024-01-09,416.77253377450137,349.60934070306894,479.75899701543545,415.1290723195613
11162,2024-01-10,416.97229818218034,356.90296048850496,483.5499679277415,415.16745325889184
11163,2024-01-11,416.92976876290675,353.69491277741366,486.77844043169324,415.2058341982222
11164,2024-01-12,417.0333567161183,353.6713991096486,480.8892734241936,415.24421513755266
11165,2024-01-15,416.3496695229921,353.33145487978123,474.2753436589709,415.35935795554394
11166,2024-01-16,416.6220385465198,351.6516583125068,476.1002855631776,415.39773889487446
11167,2024-01-17,416.62741784495563,351.75516405403334,477.0447305818886,415.4361198342048
11168,2024-01-18,416.41013252872733,352.5166675606351,482.1708472763456,415.4745007735353
11169,2024-01-19,416.3628009995304,357.3484727608367,476.14312641987175,415.51288171286575
11170,2024-01-22,415.40163033488034,351.3635301968648,485.39710609949884,415.628024530857
11171,2024-01-23,415.6468425421412,355.9810629565327,475.5984415091522,415.66640547018744
11172,2024-01-24,415.6590850037934,355.9179144378473,483.9019503227712,415.7047864095179
11173,2024-01-25,415.4821832085374,354.53030913114344,484.4086817987443,415.7431673488484
11174,2024-01-26,415.5073951319078,349.3365544970279,475.42880027317466,415.78154828817884
11175,2024-01-29,414.9312972527346,348.5240459744687,484.01648913857355,415.89669110617007
11176,2024-01-30,415.3487336081248,348.37690107951335,475.4820956756415,415.93507204550053
11177,2024-01-31,415.5477881387718,351.42767513311134,483.18561579539227,415.973452984831
11178,2024-02-01,415.56730656181986,350.7367013636164,477.11708907463003,416.01183392416146
11179,2024-02-02,415.793371517112,355.10594766356473,479.5699003541102,416.0502148634919
11180,2024-02-05,415.7946918943549,352.47022407605107,479.69239562367943,416.16535768148316
11181,2024-02-06,416.3799482955762,352.3266782350718,480.3924746609858,416.2037386208136
11182,2024-02-07,416.7273010646345,355.74735481696786,482.53353346344284,416.2421195601441
11183,2024-02-08,416.872084706383,348.35585063090997,479.2047552238307,416.2805004994745
11184,2024-02-09,417.19754102479266,354.97187623739154,481.15557593782415,416.31888143880497
11185,2024-02-12,417.32477232868115,356.16319799328204,473.6919069832992,416.43402425679625
11186,2024-02-13,417.89294388900646,354.0763350318356,483.9788738031022,416.4724051961268
11187,2024-02-14,418.19490325140106,358.67873806953924,480.2248022692181,416.5107861354571
11188,2024-02-15,418.2678848295507,354.47599846561127,482.338178801406,416.5491670747876
11189,2024-02-16,418.4977338651165,359.12334364969695,481.871852366353,416.58754801411806
11190,2024-02-19,418.23010904721696,355.29635500581674,481.5417636694878,416.7026908321092
11191,2024-02-20,418.6444341202238,358.51836813275645,483.7970128980612,416.74107177143975
11192,2024-02-21,418.7889977776813,356.69004242700686,479.7390226603777,416.7794527107702
11193,2024-02-22,418.70570679322594,354.8526799568933,486.32692135118464,416.8178336501007
11194,2024-02-23,418.78498409878574,354.42364741999876,485.3229114364214,416.85621458943115
11195,2024-02-26,418.1415836691014,358.35076607845076,478.4805881602904,416.9713574074224
11196,2024-02-27,418.46773963270914,355.2039149494333,479.354996551274,417.00973834675284
11197,2024-02-28,418.54716685313304,353.5013472824722,481.49856964409634,417.0481192860833
11198,2024-02-29,418.42347132871953,356.22502028866955,478.9104412300054,417.0865002254138
11199,2024-03-01,418.4880459481875,355.42510851623007,480.58355615797444,417.1248811647441
11200,2024-03-04,417.9532317970274,349.0042609267817,482.4108058015292,417.24002398273547
11201,2024-03-05,418.36234178703455,354.4987168389166,476.3663899045547,417.27840492206593
11202,2024-03-06,418.5443628636931,349.4079014718001,479.4976850806953,417.3167858613964
11203,2024-03-07,418.5397958916407,354.30046867073105,482.66578184148494,417.35516680072675
11204,2024-03-08,418.73647781765294,352.3826203613329,479.9154410795968,417.3935477400573
11205,2024-03-11,418.63580514182223,354.73048795912916,481.36465474198167,417.50869055804856
11206,2024-03-12,419.1882083688908,357.57031253167946,483.8399643639723,417.547071497379
11207,2024-03-13,419.5058841698286,352.6425219823115,484.2692838266037,417.5854524367094
11208,2024-03-14,419.6254768789739,360.49159568981986,480.1235179334115,417.6238333760399
