,Price US Soybean Meal,Volume US Soybean Meal,Price Feeder Cattle,Volume Feeder Cattle,Price Live Cattle,Volume Live Cattle,Price US Corn,Volume US Corn,Price US Soybean Oil,Volume US Soybean Oil,Price US Soybeans,Volume US Soybeans,Price US Wheat,Volume US Wheat,lag1,lag2,lag3
13/02/1990,-1.045861681,-0.625710671,-0.807142787,-0.709273839,-0.596292233,-0.66447285,-0.771306143,-0.837170475,-0.9052934,-0.488042586,-0.94087151,0,-0.500371384,0,0,0,0
14/02/1990,-1.051875765,-0.63978256,-0.809507712,-0.79620312,-0.601444551,-0.654959956,-0.764758493,-0.854782166,-0.890897987,-0.47529629,-0.932625571,0,-0.490882849,0,0,0,0
15/02/1990,-1.046864028,-0.640303742,-0.80832525,-0.801998405,-0.589422476,-0.668700804,-0.764758493,-0.721215101,-0.882260739,-0.365275636,-0.919881848,0,-0.496304869,0,0,0,0
16/02/1990,-1.040849945,-0.655417993,-0.804777862,-0.784612549,-0.589422476,-0.447790243,-0.772943056,-0.842947109,-0.892337529,-0.539698625,-0.923630002,0,-0.508504413,0,0,0,0
20/02/1990,-1.043856987,-0.619456498,-0.821332337,-0.535415277,-0.621023359,-0.447790243,-0.769669231,-0.861263268,-0.893057299,-0.535002621,-0.934124833,0,-0.517992947,0,0,0,0
21/02/1990,-1.052878112,-0.614765868,-0.850184421,-0.355761429,-0.731969939,0.588058319,-0.758210843,-0.750802742,-0.86138739,-0.431690543,-0.919881848,0,-0.505793403,0,0,0,0
22/02/1990,-1.062901584,-0.487597681,-0.846164049,-0.564391704,-0.734374354,0.82799467,-0.741841718,-0.592438416,-0.858508308,-0.348504195,-0.928877417,0,-0.478683305,0,0,0,0
23/02/1990,-1.084953222,-0.519910909,-0.850893899,-0.662911556,-0.734374354,0.181117813,-0.736930981,-0.677819894,-0.845552436,-0.458524849,-0.937123356,0,-0.454284217,0,0,0,0
26/02/1990,-1.089964958,-0.427140674,-0.859644121,-0.680297412,-0.743992015,-0.281843075,-0.738567893,-0.711070767,-0.859947849,-0.447791127,-0.947618187,0,-0.442084673,0,0,0,0
27/02/1990,-1.083950875,-0.440170201,-0.856096734,-0.593368131,-0.740557136,0.045823306,-0.748389368,-0.675424704,-0.85059083,-0.373996785,-0.948367818,0,-0.452928712,0,0,0,0
28/02/1990,-1.080943833,-0.64916382,-0.846637034,-0.651320985,-0.737809233,-0.234278601,-0.736930981,-0.696981414,-0.811003444,-0.24720469,-0.933375202,0,-0.458350732,0,0,0,0
1/03/1990,-1.088962611,-0.593397443,-0.844272109,-0.72086441,-0.721665303,-0.341034422,-0.740204806,-0.623998566,-0.809563903,-0.307581878,-0.93112631,0,-0.48003881,0,0,0,0
2/03/1990,-1.109009555,-0.605905789,-0.844981586,-0.767226693,-0.710330204,-0.250133426,-0.741841718,-0.70839379,-0.785811471,-0.38405965,-0.926628525,0,-0.48274982,0,0,0,0
5/03/1990,-1.109009555,-0.74923059,-0.836704349,-0.726659695,-0.701743007,-0.244848484,-0.745115543,-0.759397247,-0.757020645,-0.490726016,-0.920631478,0,-0.503082394,0,0,0,0
6/03/1990,-1.077936792,-0.79665807,-0.824170247,-0.680297412,-0.69487325,-0.213138834,-0.751663193,-0.657249439,-0.767097434,-0.392780799,-0.899641816,0,-0.523414967,0,0,0,0
7/03/1990,-1.069918014,-0.831056022,-0.821332337,-0.726659695,-0.695903714,-0.195170033,-0.763121581,-0.596947008,-0.754141562,-0.432361401,-0.902640339,0,-0.524770472,0,0,0,0
8/03/1990,-1.045861681,-0.836789014,-0.811872637,-0.761431407,-0.675294442,-0.023937923,-0.761484668,-0.618081038,-0.759179957,-0.249217263,-0.888397354,0,-0.511215423,0,0,0,0
9/03/1990,-1.03182882,-0.836789014,-0.80643331,-0.645525699,-0.663272367,0.066963073,-0.754937018,-0.733472838,-0.750542709,-0.463220853,-0.870406215,0,-0.511215423,0,0,0,0
12/03/1990,-1.048868723,-0.810208779,-0.797683087,-0.72086441,-0.649532852,-0.030279853,-0.733657156,-0.670775217,-0.748383397,-0.581962657,-0.8846492,0,-0.511215423,0,0,0,0
13/03/1990,-1.051875765,-0.878483502,-0.781601598,-0.436895425,-0.646097973,-0.034507807,-0.748389368,-0.616953889,-0.765657893,-0.464562568,-0.897392923,0,-0.524770472,0,0,0,0
14/03/1990,-1.068915667,-0.818547676,-0.790588312,-0.703478553,-0.666707245,-0.021823947,-0.753300106,-0.645414382,-0.785091701,-0.248546405,-0.915384063,0,-0.524770472,0,0,0,0
15/03/1990,-1.04987107,-0.886301218,-0.794608685,-0.744045551,-0.674263978,-0.3611172,-0.736930981,-0.657813013,-0.736147296,-0.267330419,-0.874903999,0,-0.505793403,0,0,0,0
16/03/1990,-1.065908625,-0.850339723,-0.791770775,-0.813588976,-0.668424685,-0.621136329,-0.733657156,-0.78349004,-0.725350736,-0.439740835,-0.887647723,0,-0.478683305,0,0,0,0
19/03/1990,-1.037842904,-0.883174132,-0.786331448,-0.773021978,-0.64506751,-0.256475356,-0.712377293,-0.604273472,-0.719592571,-0.455841419,-0.862909907,0,-0.429885129,0,0,0,0
20/03/1990,-0.997749016,-0.86805988,-0.804068385,-0.744045551,-0.690751396,0.166319976,-0.697645081,-0.585957313,-0.722471654,-0.553786635,-0.855413599,0,-0.409552556,0,0,0,0
21/03/1990,-0.990732585,-0.860242164,-0.800520997,-0.801998405,-0.701056032,-0.111667955,-0.710740381,-0.680637764,-0.744784544,-0.443765981,-0.85691286,0,-0.397353011,0,0,0,0
22/03/1990,-0.939612878,-0.200426897,-0.793426222,-0.801998405,-0.690751396,-0.239563542,-0.673091393,-0.69641784,-0.766377664,-0.656427856,-0.817932058,0,-0.645410408,0,0,0,0
23/03/1990,-0.978704419,-0.223358866,-0.793426222,-0.865746545,-0.677698857,-0.32306562,-0.678002131,-0.839565665,-0.758460186,-0.658440429,-0.838921721,0,-0.656254447,0,0,0,0
26/03/1990,-0.960662169,-0.404729887,-0.788223387,-0.848360688,-0.673577003,-0.450961208,-0.663269918,-0.806173898,-0.746224085,-0.693995884,-0.822429843,0,-0.644054903,0,0,0,0
27/03/1990,-0.968680947,-0.560563034,-0.791061297,-0.854155974,-0.683881638,-0.178258219,-0.663269918,-0.825758099,-0.76205904,-0.700704461,-0.832175044,0,-0.665742982,0,0,0,0
28/03/1990,-0.99975371,-0.50166957,-0.791061297,-0.790407834,-0.659837488,0.10712863,-0.681275956,-0.797720287,-0.787970783,-0.659782144,-0.866658061,0,-0.692853079,0,0,0,0
29/03/1990,-0.995744321,-0.562647758,-0.792953237,-0.790407834,-0.658807024,-0.394940827,-0.676365218,-0.814204829,-0.782212618,-0.669174151,-0.864409168,0,-0.676587021,0,0,0,0
30/03/1990,-0.985720849,-0.597566892,-0.805250847,-0.773021978,-0.65468517,-0.296640912,-0.668180656,-0.842242642,-0.767097434,-0.689970738,-0.847917291,0,-0.683364545,0,0,0,0
2/04/1990,-1.003763099,-0.556393585,-0.7941357,-0.738250266,-0.629610556,-0.300868865,-0.648537706,-0.726146374,-0.788690554,-0.689970738,-0.877902523,0,-0.661676467,0,0,0,0
3/04/1990,-1.009777182,-0.451115004,-0.794608685,-0.703478553,-0.629610556,-0.400225768,-0.630531668,-0.807160153,-0.783652159,-0.687287308,-0.874903999,0,-0.630499854,0,0,0,0
4/04/1990,-0.984718502,-0.38753091,-0.802412937,-0.674502126,-0.629610556,-0.403396733,-0.622347106,-0.752775251,-0.758460186,-0.692654169,-0.859911383,0,-0.585768192,0,0,0,0
5/04/1990,-0.965673905,-0.435479571,-0.789878835,-0.715069124,-0.617588481,-0.369573107,-0.612525631,-0.785180763,-0.76205904,-0.680578731,-0.843419506,0,-0.584412688,0,0,0,0
6/04/1990,-0.958657475,-0.331764533,-0.770959435,-0.558596418,-0.590109452,-0.302982842,-0.620710193,-0.697263201,-0.783652159,-0.665819863,-0.846418029,0,-0.610167281,0,0,0,0
9/04/1990,-0.951641044,-0.532419255,-0.767412048,-0.616549272,-0.584270158,-0.346319364,-0.619073281,-0.835902433,-0.798047573,-0.63227698,-0.857662491,0,-0.634566369,0,0,0,0
10/04/1990,-0.968680947,-0.610075238,-0.75913481,-0.715069124,-0.573965522,-0.43722036,-0.602704156,-0.774895535,-0.788690554,-0.624897546,-0.859911383,0,-0.627788844,0,0,0,0
11/04/1990,-0.986723196,-0.568901932,-0.766229585,-0.697683268,-0.568813204,-0.387541908,-0.609251806,-0.705575919,-0.76205904,-0.649048422,-0.854663968,0,-0.61287829,0,0,0,0
12/04/1990,-1.008774835,-0.531898074,-0.761499735,-0.825179547,-0.567095765,-0.583084749,-0.619073281,-0.777713406,-0.759899728,-0.669845009,-0.872655107,0,-0.600678746,0,0,0,0
16/04/1990,-1.011781876,-0.628837757,-0.75913481,-0.686092697,-0.57911784,-0.528121356,-0.604341068,-0.758692779,-0.7188728,-0.647035849,-0.859911383,0,-0.581701678,0,0,0,0
17/04/1990,-0.994741974,-0.544927601,-0.762682198,-0.703478553,-0.591139915,-0.594711621,-0.589608856,-0.585393739,-0.700878534,-0.594038094,-0.843419506,0,-0.61287829,0,0,0,0
18/04/1990,-0.99273728,-0.467271618,-0.75913481,-0.825179547,-0.585987597,-0.65813092,-0.592882681,-0.63893328,-0.71815303,-0.626239261,-0.850166183,0,-0.610167281,0,0,0,0
19/04/1990,-0.975697377,-0.481864689,-0.760317273,-0.773021978,-0.584270158,-0.553489076,-0.568328993,-0.603146324,-0.704477387,-0.663136432,-0.831425413,0,-0.589834707,0,0,0,0
20/04/1990,-0.97469503,-0.587664451,-0.760317273,-0.830974832,-0.581522255,-0.553489076,-0.569965906,-0.595256286,-0.685043579,-0.653744425,-0.818681689,0,-0.580346173,0,0,0,0
23/04/1990,-0.987725544,-0.639261379,-0.76386466,-0.842565403,-0.791049852,0.003543773,-0.568328993,-0.667957347,-0.669928396,-0.651731852,-0.815683166,0,-0.583057183,0,0,0,0
24/04/1990,-1.013786571,-0.537109885,-0.765047123,-0.784612549,-0.819559345,0.379831618,-0.581424293,-0.584266591,-0.679285414,-0.624897546,-0.837422459,0,-0.596612232,0,0,0,0
25/04/1990,-0.979706766,-0.470919886,-0.755114438,-0.773021978,-0.827116078,0.206485532,-0.560144431,-0.5622872,-0.659851606,-0.532990048,-0.805188335,0,-0.578990668,0,0,0,0
26/04/1990,-0.897514296,-0.209286976,-0.755114438,-0.773021978,-0.835703274,-0.028165877,-0.542138394,-0.525373096,-0.641137569,-0.606113532,-0.75421344,0,-0.581701678,0,0,0,0
27/04/1990,-0.858422755,-0.41567469,-0.805250847,-0.309399146,-0.816811442,-0.044020702,-0.543775306,-0.505084428,-0.641137569,-0.638985557,-0.727976362,0,-0.581701678,0,0,0,0
30/04/1990,-0.861429796,-0.697633662,-0.793426222,-0.460076566,-0.822994223,-0.347376352,-0.542138394,-0.644005447,-0.658412065,-0.592696379,-0.73547267,0,-0.561369104,0,0,0,0
1/05/1990,-0.847396935,-0.758090669,-0.795791147,-0.373147285,-0.814407027,0.044766318,-0.530680006,-0.237104937,-0.704477387,-0.528964902,-0.750465286,0,-0.597967737,0,0,0,0
2/05/1990,-0.845392241,-0.764344842,-0.791770775,-0.529619991,-0.801354488,-0.130693744,-0.502852494,-0.440836979,-0.661291148,-0.637643841,-0.723478577,0,-0.565435619,0,0,0,0
3/05/1990,-0.876465004,-0.726298622,-0.769303988,-0.326785002,-0.777310337,0.010942692,-0.515947794,-0.506211576,-0.671367937,-0.616847254,-0.743718609,0,-0.570857639,0,0,0,0
4/05/1990,-0.891500212,-0.777895551,-0.765047123,-0.425304854,-0.765288262,0.244537112,-0.507763231,-0.439146257,-0.659851606,-0.607455247,-0.75346381,0,-0.545103045,0,0,0,0
7/05/1990,-0.863434491,-0.838873739,-0.746127723,-0.286218004,-0.74639643,-0.131750733,-0.488120281,-0.38137991,-0.61954445,-0.585987802,-0.721979316,0,-0.513926433,0,0,0,0
8/05/1990,-0.863434491,-0.833140747,-0.756769886,-0.494848279,-0.790362876,0.538379868,-0.499578669,-0.388706373,-0.631780551,-0.589342091,-0.732474147,0,-0.541036531,0,0,0,0
9/05/1990,-0.832361727,-0.815420589,-0.749202126,-0.489052993,-0.762883847,0.002486785,-0.491394106,-0.60737313,-0.584995458,-0.600746671,-0.692743715,0,-0.532903501,0,0,0,0
10/05/1990,-0.821335908,-0.840958463,-0.747310186,-0.448485996,-0.780745216,0.008828715,-0.484846456,-0.503393706,-0.58715477,-0.581962657,-0.688995561,0,-0.519348452,0,0,0,0
11/05/1990,-0.875462657,-0.786755629,-0.742107351,-0.662911556,-0.785210558,-0.0894712,-0.496304844,-0.321359267,-0.594352477,-0.522927183,-0.736971932,0,-0.522059462,0,0,0,0
14/05/1990,-0.909542462,-0.830534841,-0.743762798,-0.819384261,-0.789332413,-0.378029013,-0.491394106,-0.498039751,-0.595072247,-0.604100959,-0.762459379,0,-0.507148908,0,0,0,0
15/05/1990,-0.934601142,-0.813857046,-0.743762798,-0.87154183,-0.797919609,-0.202568951,-0.530680006,-0.356019075,-0.624582844,-0.547748916,-0.793194242,0,-0.513926433,0,0,0,0
16/05/1990,-0.937608184,-0.85867862,-0.743762798,-0.773021978,-0.773188483,-0.158175441,-0.547049131,-0.383634206,-0.633939863,-0.510180888,-0.793943873,0,-0.481394315,0,0,0,0
17/05/1990,-0.903528379,-0.789361535,-0.742107351,-0.819384261,-0.780745216,-0.253304391,-0.530680006,-0.582012294,-0.610187431,-0.567203788,-0.78194978,0,-0.478683305,0,0,0,0
18/05/1990,-0.902526032,-0.840437282,-0.725552876,-0.471667137,-0.776623362,-0.086300235,-0.547049131,-0.58342123,-0.63106078,-0.59537981,-0.804438704,0,-0.499015879,0,0,0,0
21/05/1990,-0.916558892,-0.860763345,-0.722005489,-0.645525699,-0.759448969,-0.240620531,-0.581424293,-0.522555225,-0.670648166,-0.473283717,-0.81943132,0,-0.511215423,0,0,0,0
22/05/1990,-0.910544809,-0.423492406,-0.725552876,-0.819384261,-0.774905922,-0.086300235,-0.632168581,-0.870280454,-0.700158763,-0.582633514,-0.805937966,0,-0.775538878,0,0,0,0
23/05/1990,-0.907537768,-0.597045711,-0.723660936,-0.686092697,-0.797232634,0.05639319,-0.622347106,-0.892400738,-0.695120369,-0.608796963,-0.806687596,0,-0.780960898,0,0,0,0
24/05/1990,-0.887490824,-0.594439805,-0.724843399,-0.686092697,-0.804789367,-0.344205387,-0.596156506,-0.897191118,-0.672807478,-0.579279226,-0.786447565,0,-0.798582462,0,0,0,0
25/05/1990,-0.880474393,-0.502190751,-0.766939063,-0.830974832,-0.804102391,-0.438277348,-0.568328993,-0.904094901,-0.666329542,-0.647706706,-0.775952734,0,-0.801293471,0,0,0,0
29/05/1990,-0.90653542,-0.385967367,-0.76386466,-0.529619991,-0.785210558,-0.024994912,-0.571602818,-0.884792487,-0.705916928,-0.594038094,-0.814933535,0,-0.774183373,0,0,0,0
30/05/1990,-0.909542462,-0.507402562,-0.771668913,-0.599163416,-0.788645437,-0.237449566,-0.599430331,-0.912830299,-0.700878534,-0.581291799,-0.817182428,0,-0.789093927,0,0,0,0
31/05/1990,-0.920568281,-0.428183036,-0.769776973,-0.529619991,-0.787614973,-0.419251558,-0.609251806,-0.899304521,-0.688642433,-0.674541012,-0.811185381,0,-0.780960898,0,0,0,0
1/06/1990,-0.941617572,-0.287985321,-0.752749513,-0.622344558,-0.771471044,-0.703581419,-0.622347106,-0.897332011,-0.704477387,-0.669174151,-0.826927628,0,-0.805359986,0,0,0,0
4/06/1990,-0.98171146,-0.142575796,-0.737377501,-0.251446292,-0.762883847,-0.615851387,-0.637079318,-0.873380111,-0.717433259,-0.602759244,-0.854663968,0,-0.795871452,0,0,0,0
5/06/1990,-0.978704419,-0.465708075,-0.738559963,-0.512234135,-0.754296651,-0.534463286,-0.601067243,-0.878170491,-0.704477387,-0.62959355,-0.854663968,0,-0.787738422,0,0,0,0
6/06/1990,-0.966676252,-0.462580988,-0.727208324,-0.30360386,-0.745709454,-0.608452469,-0.597793418,-0.881833723,-0.688642433,-0.619530685,-0.850915814,0,-0.793160442,0,0,0,0
7/06/1990,-0.961664516,-0.464665713,-0.735485561,-0.483257708,-0.742274575,-0.675042734,-0.548686044,-0.851118934,-0.618104908,-0.614834681,-0.824678736,0,-0.775538878,0,0,0,0
8/06/1990,-0.975697377,-0.371895478,-0.729573249,-0.622344558,-0.732656915,-0.699353465,-0.547049131,-0.841960855,-0.592912935,-0.532990048,-0.832924675,0,-0.797226957,0,0,0,0
11/06/1990,-0.958657475,-0.483949413,-0.727208324,-0.703478553,-0.714795546,-0.546090158,-0.517584706,-0.857036462,-0.589314082,-0.59806324,-0.808186858,0,-0.786382918,0,0,0,0
12/06/1990,-0.94963635,-0.549618231,-0.738559963,-0.622344558,-0.712047643,-0.629592236,-0.499578669,-0.839565665,-0.600110642,-0.645694133,-0.81043575,0,-0.772827869,0,0,0,0
13/06/1990,-0.94261992,-0.404208706,-0.738559963,-0.668706841,-0.692468835,-0.613737411,-0.522495444,-0.856895569,-0.621703762,-0.600746671,-0.814933535,0,-0.778249888,0,0,0,0
14/06/1990,-0.976699724,-0.410462879,-0.744472276,-0.216674579,-0.695903714,-0.665529839,-0.543775306,-0.863517564,-0.645456193,-0.599404955,-0.859161753,0,-0.786382918,0,0,0,0
15/06/1990,-0.98171146,-0.640824923,-0.746127723,-0.315194431,-0.695903714,-0.834647971,-0.573239731,-0.899022734,-0.665609772,-0.661794717,-0.874903999,0,-0.812137511,0,0,0,0
18/06/1990,-0.968680947,-0.529813349,-0.729100264,-0.30360386,-0.685599078,-0.806109287,-0.542138394,-0.889723761,-0.638978257,-0.638985557,-0.844918767,0,-0.801293471,0,0,0,0
19/06/1990,-0.980709113,-0.555872404,-0.724843399,-0.58177756,-0.68044676,-0.81033724,-0.535590744,-0.887046784,-0.634659633,-0.549090632,-0.853164706,0,-0.789093927,0,0,0,0
20/06/1990,-0.962666864,-0.268701621,-0.730755711,-0.234060436,-0.696590689,-0.81033724,-0.547049131,-0.835902433,-0.646895735,-0.579950084,-0.838921721,0,-0.776894383,0,0,0,0
21/06/1990,-0.95665278,-0.580367916,-0.727917801,-0.535415277,-0.785897534,-0.162403394,-0.545412219,-0.886764997,-0.633939863,-0.58397523,-0.823179474,0,-0.75656181,0,0,0,0
22/06/1990,-0.963669211,-0.573592561,-0.743762798,-0.402123712,-0.812689587,-0.035564795,-0.561781343,-0.87690245,-0.646175964,-0.610138678,-0.834423936,0,-0.780960898,0,0,0,0
25/06/1990,-0.934601142,-0.310396108,-0.750384588,-0.697683268,-0.818528881,-0.196227021,-0.530680006,-0.805610324,-0.628181698,-0.523598041,-0.794693504,0,-0.782316403,0,0,0,0
26/06/1990,-0.933598795,-0.347399966,-0.748492648,-0.674502126,-0.82196376,-0.410795652,-0.537227656,-0.8845107,-0.642577111,-0.64099813,-0.808936489,0,-0.779605393,0,0,0,0
27/06/1990,-0.930591753,-0.346878785,-0.756769886,-0.651320985,-0.816811442,-0.438277348,-0.532316919,-0.787294165,-0.639698028,-0.592696379,-0.808936489,0,-0.783671908,0,0,0,0
28/06/1990,-0.940615225,-0.294760676,-0.752749513,-0.645525699,-0.816124466,-0.563001971,-0.501215581,-0.779122341,-0.630341009,-0.571899792,-0.811935012,0,-0.799937967,0,0,0,0
29/06/1990,-0.897514296,-0.523037995,-0.76102675,-0.639730414,-0.819559345,-0.624307294,-0.499578669,-0.758551886,-0.584275687,-0.583304372,-0.762459379,0,-0.824337055,0,0,0,0
2/07/1990,-0.83135938,-0.531898074,-0.774506823,-0.060201873,-0.828833517,0.045823306,-0.494667931,-0.72079242,-0.517337016,-0.450474557,-0.694992607,0,-0.82027054,0,0,0,0
3/07/1990,-0.795274881,-0.639261379,-0.779236673,-0.575982274,-0.829863981,-0.346319364,-0.494667931,-0.796593138,-0.54324876,-0.532319191,-0.687496299,0,-0.836536599,0,0,0,0
5/07/1990,-0.884483782,-0.706493741,-0.764574138,-0.628139843,-0.821276784,-0.537634251,-0.553596781,-0.687400654,-0.610187431,-0.48670087,-0.747466763,0,-0.865002202,0,0,0,0
6/07/1990,-0.894507254,-0.710142008,-0.748492648,-0.407918998,-0.799637049,-0.444619278,-0.607614893,-0.65133191,-0.614506055,-0.594038094,-0.775952734,0,-0.913800378,0,0,0,0
9/07/1990,-0.913551851,-0.729425709,-0.731465188,-0.431100139,-0.782462655,-0.069388421,-0.597793418,-0.741503769,-0.60874789,-0.534331763,-0.783449042,0,-0.928710932,0,0,0,0
10/07/1990,-0.897514296,-0.800827519,-0.731465188,-0.680297412,-0.785210558,-0.198340998,-0.587971943,-0.814768404,-0.625302615,-0.545065486,-0.785697934,0,-0.934132952,0,0,0,0
11/07/1990,-0.915556545,-0.811772322,-0.727917801,-0.604958702,-0.780745216,-0.174030266,-0.609251806,-0.731077648,-0.666329542,-0.345820764,-0.804438704,0,-0.934132952,0,0,0,0
12/07/1990,-0.920568281,-0.802912243,-0.707815939,-0.30360386,-0.754983626,-0.029222865,-0.628894756,-0.749393806,-0.66345046,-0.549090632,-0.81043575,0,-0.931421942,0,0,0,0
